CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate,auc
cg19045644,0.300997497,0.402356164,9.34157258,2.28e-19,3.56e-18,32.634133,0.128426788,0.429424285,0.300997497,4,57976756,F,I,IGFBP7,TSS1500,island,TSS1500-island,chr4:57975860-57976916,True,,high-CpG:57671112-57671735,rs11573016,,0.3723332793597786,hyper,0.06,0.9339111592632721,0.9538461538461539,0.8766104078762307
cg07589773,0.337993856,0.466404467,10.99083526,1.47e-25,4.7299999999999995e-24,46.76063579,0.158805741,0.496799598,0.337993856,7,50343883,F,I,IKZF1,TSS1500,island,TSS1500-island,chr7:50343757-50344519,,,high-CpG:50313999-50314998,,,0.4674500748614962,hyper,0.32,0.8758782201405151,0.8961748633879781,0.8743459915611813
cg18673954,0.323941131,0.412584268,11.12981553,4.1200000000000004e-26,1.43e-24,48.02042808,0.117774533,0.441715664,0.323941131,10,105036611,F,I,INA,TSS1500,shore,TSS1500-shore,chr10:105036628-105038084,True,,,,,0.37221665914536883,hyper,0.1,0.9431072210065644,0.9751243781094527,0.910534458509142
cg10119075,0.415495678,0.596070155,15.81724256,8.62e-47,1.1500000000000001e-43,95.37561565,0.217939196,0.633434874,0.415495678,10,7709738,F,II,ITIH5,TSS1500,opensea,TSS1500-opensea,,,,,,,0.43972904001734814,hyper,0.32,0.945414847161572,0.9484536082474226,0.920759493670886
cg10101773,0.316279424,0.625658159,13.75164862,3.0600000000000004e-37,6.47e-35,73.48493866,0.337821129,0.654100553,0.316279424,14,75894136,F,I,JDP2,TSS1500,shore,TSS1500-shore,chr14:75894308-75895469,,,,,,0.41195632895303647,hyper,0.46,0.9302325581395349,0.9319371727748691,0.9120534458509141
cg20883831,0.462837739,0.543041064,16.14435613,2.3699999999999998e-48,4.21e-45,98.95533661,0.121825424,0.584663163,0.462837739,7,150652948,F,I,KCNH2,TSS200,island,TSS200-island,chr7:150652807-150653080,True,True,high-CpG:150283794-150283891,,,0.5665361968392372,hyper,0.16,0.9567099567099567,0.9696969696969697,0.9409001406469762
cg27539986,0.284123041,0.486887569,12.48642463,1.0400000000000001e-31,8.41e-30,60.81894561,0.228315162,0.512438203,0.284123041,1,6664103,R,I,KLHL21,TSS1500,shore,TSS1500-shore,chr1:6661776-6663844,,,,,,0.3974032556791299,hyper,0.25,0.9378407851690294,0.9591836734693877,0.9074120956399437
cg20104456,0.394128198,0.648747553,15.35760742,1.28e-44,1.1099999999999999e-41,90.39308912,0.290062539,0.684190737,0.394128198,19,51568523,R,II,KLK13,TSS200,shore,TSS200-shore,chr19:51568154-51568412,,True,,,,0.41886234226081953,hyper,0.41,0.9144144144144145,0.8972972972972972,0.9114767932489451
cg14537533,0.327430595,0.583119461,12.15296503,2.68e-30,1.72e-28,57.59266025,0.285134064,0.612564658,0.327430595,12,52626904,R,I,KRT7,TSS200,island,TSS200-island,chr12:52626793-52627577,True,,,,,0.3762062173008437,hyper,0.43,0.9132821075740946,0.9278350515463918,0.849845288326301
cg20640433,0.371490234,0.488143714,10.23884337,1.18e-22,2.6500000000000003e-21,40.12503128,0.150060875,0.521551109,0.371490234,6,129204206,R,II,LAMA2,TSS200,opensea,TSS200-opensea,,True,True,,,,0.4023342155545157,hyper,0.25,0.8702830188679246,0.9139784946236558,0.8945569620253164
cg02871995,0.335804614,0.548675455,14.86078335,2.6799999999999996e-42,1.47e-39,85.07469528,0.243069097,0.578873712,0.335804614,11,111410960,F,II,LAYN,TSS1500,island,TSS1500-island,chr11:111410932-111412199,True,,,,,0.35603291481350474,hyper,0.32,0.9409190371991247,0.9263157894736842,0.9057946554149087
cg25170591,0.39352753,0.514371058,14.72869086,1.1e-41,5.49e-39,83.67318645,0.156232694,0.549760224,0.39352753,10,103881062,F,I,LDB1,TSS1500,shore,TSS1500-shore,chr10:103879633-103880628,,,,,,0.5019887481213376,hyper,0.29,0.9380530973451328,0.9430051813471503,0.9322644163150493
cg00840332,0.322696469,0.471394616,12.06494477,6.27e-30,3.8e-28,56.74944179,0.177717613,0.500414083,0.322696469,7,127881269,R,I,LEP,TSS200,island,TSS200-island,chr7:127880750-127881375,,,,,,0.37334491710583384,hyper,0.2,0.9306930693069307,0.964824120603015,0.9069620253164556
cg14102988,0.397848045,0.508560546,13.55235796,2.3700000000000002e-36,4.23e-34,71.44808523,0.146490203,0.544338248,0.397848045,9,113801337,R,II,LPAR1,TSS1500,island,TSS1500-island,chr9:113799913-113801375,,,high-CpG:112840107-112841306,,,0.3884963724085715,hyper,0.2,0.9429824561403509,0.9263157894736842,0.9073980309423346
cg26307117,0.346015326,0.550796857,13.15261817,1.38e-34,1.83e-32,67.40813688,0.235898017,0.581913343,0.346015326,3,46506552,F,I,LTF,TSS200,shore,TSS200-shore,chr3:46506161-46506416,,,,,,0.3925092356384174,hyper,0.36,0.9168539325842697,0.9090909090909092,0.9138115330520395
cg00349607,0.384334453,0.51714262,13.7388458,3.5e-37,7.300000000000001e-35,73.35364556,0.167370617,0.551705071,0.384334453,1,39546688,R,I,MACF1,TSS1500,shore,TSS1500-shore,chr1:39547013-39547959,True,,,,,0.49175212488902575,hyper,0.28,0.9333333333333333,0.9479166666666667,0.9394233473980309
cg12225220,0.35656967,0.673402155,14.16892009,4.02e-39,1.21e-36,77.79626079,0.348898103,0.705467772,0.35656967,4,87281434,F,II,MAPK10,TSS200,opensea,TSS200-opensea,,,,,,,0.378219725058965,hyper,0.51,0.907865168539326,0.8756756756756757,0.8926582278481012
cg06679087,0.376262158,0.540485243,13.28982546,3.4500000000000004e-35,5.05e-33,68.7878009,0.198059609,0.574321768,0.376262158,10,99473206,R,I,MARVELD1,TSS1500,island,TSS1500-island,chr10:99473084-99473291,,,,,,0.49187755758350205,hyper,0.32,0.9154453213077791,0.9139784946236558,0.9142616033755274
cg05687686,0.304934431,0.531466078,14.07753394,1.04e-38,2.89e-36,76.84679132,0.253953809,0.558888239,0.304934431,2,180726697,R,I,MIR1258,TSS1500,shore,TSS1500-shore,chr2:180725717-180726465,True,,,,,0.38037312055701294,hyper,0.37,0.932297447280799,0.9312169312169312,0.9135583684950773
cg01508380,0.364198029,0.484478322,11.9431977,2.0200000000000002e-29,1.1300000000000002e-27,55.58904155,0.153031914,0.517229943,0.364198029,14,23305585,F,II,MMP14,TSS1500,shore,TSS1500-shore,chr14:23305893-23307013,,,,,,0.369069806107589,hyper,0.19,0.9266666666666666,0.8913043478260869,0.9040787623066102
cg15092343,0.31562137,0.670044536,13.74994772,3.1200000000000003e-37,6.580000000000001e-35,73.46749245,0.382806382,0.698427752,0.31562137,4,4860061,F,I,MSX1,TSS1500,island,TSS1500-island,chr4:4859632-4860191,,,,rs76561716,,0.35319713725273444,hyper,0.56,0.8906605922551253,0.9042553191489362,0.8922925457102672
cg12296772,0.302255224,0.398101873,9.129980259,1.27e-18,1.83e-17,30.93979505,0.123027874,0.425283098,0.302255224,8,17271067,F,I,MTMR7,TSS200,island,TSS200-island,chr8:17270603-17271120,True,True,,,,0.35964969434881416,hyper,0.12,0.8868360277136258,0.9148936170212766,0.8762165963431786
cg19300568,0.36570844,0.499882225,14.43112893,2.5599999999999997e-40,9.65e-38,80.53630353,0.167061235,0.532769675,0.36570844,4,2060112,F,I,NAT8L,TSS1500,island,TSS1500-island,chr4:2059928-2063181,,,,,,0.4285331237409149,hyper,0.29,0.9403973509933775,0.9538461538461539,0.9360478199718707
cg20902783,0.342560821,0.602544468,14.90996902,1.59e-42,9.08e-40,85.59793482,0.290789477,0.633350298,0.342560821,14,21494071,R,II,NDRG2,TSS1500,island,TSS1500-island,chr14:21492735-21494270,True,,,,,0.3599135453725673,hyper,0.38,0.9337748344370861,0.9319371727748691,0.9137271448663853
cg00402172,0.340320434,0.500855355,14.50195893,1.2099999999999999e-40,4.899999999999999e-38,81.28039427,0.191139276,0.53145971,0.340320434,16,68118754,F,I,NFATC3,TSS1500,island,TSS1500-island,chr16:68118564-68119986,,,,,,0.42152581742779105,hyper,0.26,0.9343544857768054,0.9263157894736842,0.9118002812939523
cg01781974,0.314698392,0.436485033,10.85180508,5.17e-25,1.55e-23,45.51058214,0.150086856,0.464785248,0.314698392,14,52535973,R,I,NID2,TSS200,island,TSS200-island,chr14:52534581-52536722,True,,high-CpG:51605470-51605775,,,0.35624918874743045,hyper,0.22,0.8850574712643678,0.9319371727748691,0.8683825597749648
cg26205771,0.316580582,0.519047306,11.9300993,2.2800000000000002e-29,1.27e-27,55.46461062,0.230936201,0.547516783,0.316580582,8,53851156,R,I,NPBWR1,TSS1500,shore,TSS1500-shore,chr8:53851701-53854426,,,,,,0.38493275717065645,hyper,0.31,0.9099099099099099,0.9032258064516129,0.9019831223628693
cg00536939,0.409704033,0.514341935,15.37203205,1.1e-44,9.61e-42,90.54857261,0.14148179,0.551185823,0.409704033,11,47279352,R,II,NR1H3,TSS200,opensea,TSS200-opensea,,True,True,,,,0.43431369944376325,hyper,0.29,0.9308035714285714,0.9263157894736842,0.9448241912798876
cg18525352,0.37442769,0.625537307,14.84042621,3.3299999999999995e-42,1.8e-39,84.85835239,0.284781172,0.659208862,0.37442769,12,106533867,R,I,NUAK1,TSS200,shore,TSS200-shore,chr12:106532106-106533696,,,,,,0.4660839344793638,hyper,0.37,0.9458874458874458,0.9430051813471503,0.9050351617440225
cg24167314,0.402137505,0.543795374,11.54956186,8.4e-28,3.7000000000000004e-26,51.88540932,0.177821313,0.579958818,0.402137505,12,103311500,R,II,PAH,TSS200,shore,TSS200-shore,chr12:103311040-103311253,,True,,,,0.4249701118209908,hyper,0.28,0.8803716608594658,0.8666666666666667,0.8593530239099859
cg18077971,0.342277002,0.625296468,13.68946607,5.81e-37,1.1699999999999999e-34,72.84781965,0.313799773,0.656076774,0.342277002,2,223164867,F,I,PAX3,TSS1500,shore,TSS1500-shore,chr2:223162946-223163912,,True,,rs45506598,,0.41913800710942384,hyper,0.45,0.9220489977728284,0.9206349206349206,0.8873277074542898
cg09175843,0.312176932,0.442334162,9.801672466,5.01e-21,9.35e-20,36.41483654,0.158230696,0.470407628,0.312176932,2,70313417,R,I,PCBP1,TSS1500,island,TSS1500-island,chr2:70313200-70315490,,,high-CpG:70166903-70166922,,,0.35365178394762525,hyper,0.24,0.8517200474495847,0.8791208791208791,0.850773558368495
cg22488256,0.380415353,0.547260828,13.80544888,1.76e-37,3.9000000000000003e-35,74.03731606,0.201055489,0.581470842,0.380415353,1,66258046,R,II,PDE4B,TSS200,shore,TSS200-shore,chr1:66258440-66258918,,,,,,0.39220174079664194,hyper,0.32,0.9187358916478555,0.9312169312169312,0.9194092827004219
cg12727795,0.343961943,0.497204717,13.95417871,3.77e-38,9.45e-36,75.56979744,0.184174603,0.528136547,0.343961943,5,149535695,F,II,PDGFRB,TSS1500,opensea,TSS1500-opensea,,,,,,,0.3530065310788731,hyper,0.26,0.9409190371991247,0.9430051813471503,0.9083544303797467
cg04518342,0.307078602,0.503581043,8.524486739,1.46e-16,1.7e-15,26.25213888,0.224117423,0.531196025,0.307078602,5,131593106,R,I,PDLIM4,TSS1500,island,TSS1500-island,chr5:131593039-131593813,True,,,,,0.3708472236027751,hyper,0.39,0.8262454434993926,0.8255813953488371,0.7947116736990155
cg10708955,0.343346685,0.561802735,13.87298316,8.749999999999999e-38,2.05e-35,74.73219025,0.24933255,0.592679235,0.343346685,17,8056950,R,II,PER1,TSS1500,shore,TSS1500-shore,chr17:8054550-8055835,True,True,,,,0.3640092405218845,hyper,0.32,0.9321663019693655,0.9430051813471503,0.9150351617440224
cg07198194,0.418193306,0.539452539,18.43280484,1.5100000000000001e-59,2.7e-55,124.6444812,0.158866545,0.577059851,0.418193306,10,3109053,R,I,PFKP,TSS1500,island,TSS1500-island,chr10:3108650-3111419,,,,,,0.5230598488691091,hyper,0.3,0.9567099567099567,0.9538461538461539,0.9291983122362869
cg24530250,0.373224686,0.464980064,11.49677677,1.3800000000000002e-27,5.89e-26,51.39449886,0.125318749,0.498543435,0.373224686,11,71955599,R,I,PHOX2A,TSS1500,island,TSS1500-island,chr11:71954816-71955659,True,,,,,0.43901797753712163,hyper,0.11,0.9490790899241603,0.97,0.910745428973277
cg23230584,0.38374278,0.489381656,16.94554524,3.1999999999999997e-52,1.3099999999999999e-48,107.8304072,0.140148118,0.523890899,0.38374278,7,95025740,F,I,PON3,TSS200,island,TSS200-island,chr7:95025559-95026122,,,,,,0.46108206573296956,hyper,0.29,0.9383259911894273,0.9375,0.9185091420534457
cg19513834,0.348170488,0.449684555,11.38724132,3.8200000000000005e-27,1.53e-25,50.38022494,0.132824363,0.480994851,0.348170488,2,105470561,R,I,POU3F3,TSS1500,island,TSS1500-island,chr2:105468851-105473488,,,high-CpG:104836973-104837008,,,0.40057107668988395,hyper,0.17,0.9154453213077791,0.9591836734693877,0.9233333333333333
cg05133205,0.388098857,0.587023888,16.04551587,7.04e-48,1.15e-44,97.87085624,0.233826007,0.621924864,0.388098857,6,32121249,R,I,PPT2,TSS200,shore,TSS200-shore,chr6:32121829-32122529,,,,,rs56224618,0.5059369398152478,hyper,0.41,0.9392265193370165,0.9319371727748691,0.9321518987341771
cg00384539,0.309359739,0.475308013,11.7982883,8.02e-29,4.11e-27,54.2169614,0.193768395,0.503128134,0.309359739,8,70983567,R,I,PRDM14,TSS200,island,TSS200-island,chr8:70981873-70984888,True,,,,,0.3529360511609514,hyper,0.25,0.9084745762711864,0.9430051813471503,0.8868776371308017
cg04203238,0.397378973,0.563978376,16.31099095,3.76e-49,8.18e-46,100.7890526,0.202334922,0.599713895,0.397378973,4,16085702,F,I,PROM1,TSS200,island,TSS200-island,chr4:16084195-16085735,True,,high-CpG:15694060-15695184,,,0.49438790018079193,hyper,0.35,0.946448087431694,0.9319371727748691,0.9267088607594938
cg12100791,0.352270241,0.678834711,15.69570272,3.26e-46,3.9e-43,94.05256588,0.358243449,0.71051369,0.352270241,16,31214417,R,II,PYCARD,TSS200,shore,TSS200-shore,chr16:31213566-31214287,,,,,,0.37961392637721286,hyper,0.43,0.9455337690631808,0.9326424870466321,0.9098030942334739
cg03053374,0.365698414,0.488272664,16.81059423,1.45e-51,5.35e-48,106.3255013,0.155460798,0.521159212,0.365698414,17,38465422,R,II,RARA,TSS200,opensea,TSS200-opensea,,,,,,,0.3688234094786551,hyper,0.21,0.9603429796355841,0.9644670050761421,0.9161884669479606
cg02499249,0.461076705,0.568310676,15.17531068,9.19e-44,6.69e-41,88.43322163,0.148697703,0.609774408,0.461076705,3,25469720,R,II,RARB,TSS200,opensea,TSS200-opensea,,,True,,,,0.5041222585074449,hyper,0.26,0.9393605292171996,0.9263157894736842,0.9251054852320675
cg18349298,0.337116585,0.599215764,17.86829842,9.530000000000001e-57,8.96e-53,118.2168821,0.292415418,0.629532004,0.337116585,3,158450550,F,I,RARRES1,TSS1500,island,TSS1500-island,chr3:158449795-158450597,True,True,,,,0.40603466252549264,hyper,0.46,0.9508196721311475,0.9430051813471503,0.9327848101265824
cg27494647,0.396712069,0.61421782,15.99224843,1.26e-47,1.97e-44,97.28741049,0.253181297,0.649893366,0.396712069,7,150038898,F,I,RARRES2,TSS200,island,TSS200-island,chr7:150037459-150039031,True,,,,,0.4860831941300092,hyper,0.47,0.9140271493212669,0.8791208791208791,0.9240365682137834
cg15229124,0.354439554,0.538597802,14.25392514,1.65e-39,5.31e-37,78.68200954,0.216032309,0.570471863,0.354439554,3,139258912,F,I,RBP1,TSS1500,shore,TSS1500-shore,chr3:139257712-139257949,,,,rs75826136,,0.41780062569740944,hyper,0.33,0.9343544857768054,0.9214659685863875,0.9142756680731363
cg16425038,0.320761341,0.583905102,14.59416064,4.57e-41,2.0199999999999998e-38,82.2514485,0.291989205,0.612750546,0.320761341,14,24641194,F,I,REC8,TSS200,island,TSS200-island,chr14:24641053-24642220,True,,high-CpG:23710910-23711161,rs1043116,,0.3770938121253486,hyper,0.42,0.9340659340659342,0.9375,0.9111673699015471
cg10959198,0.33901244,0.666995712,12.4433695,1.59e-31,1.2400000000000001e-29,60.39959621,0.358470002,0.697482442,0.33901244,15,93632896,F,II,RGMA,TSS1500,island,TSS1500-island,chr15:93631428-93633173,,,,,,0.38218454192781176,hyper,0.48,0.9084821428571429,0.8817204301075269,0.8768073136427565
cg01837657,0.391738816,0.569215691,16.56867426,2.15e-50,5.83e-47,103.6375868,0.212705186,0.604444002,0.391738816,15,90039822,R,I,RHCG,TSS200,island,TSS200-island,chr15:90039464-90039984,True,True,,,,0.48233442637645346,hyper,0.39,0.9383259911894273,0.9484536082474226,0.9266526019690576
cg10959711,0.312370798,0.421127017,12.20707689,1.59e-30,1.06e-28,58.11280369,0.136847118,0.449217916,0.312370798,1,153509096,R,I,S100A6,TSS1500,shore,TSS1500-shore,chr1:153508424-153508840,,,,,,0.3563995935381469,hyper,0.23,0.8993135011441648,0.9032258064516129,0.9123066104078761
cg01934626,0.386924921,0.587864834,17.85436846,1.12e-56,1e-52,118.0589288,0.235735319,0.62266024,0.386924921,5,180018562,F,I,SCGB3A1,TSS200,island,TSS200-island,chr5:180017099-180019062,,True,,,,0.4420921604315558,hyper,0.4,0.9502164502164502,0.9591836734693877,0.9203656821378341
cg03702236,0.364887268,0.453888562,11.36452949,4.72e-27,1.87e-25,50.17067145,0.121814898,0.486702166,0.364887268,5,9546755,R,II,SEMA5A,TSS1500,shore,TSS1500-shore,chr5:9544692-9546715,,,,,rs78088505,0.3787791922521204,hyper,0.11,0.9422028353326063,0.9591836734693877,0.8964416315049226
cg07834955,0.400619607,0.44947921,12.24033781,1.15e-30,7.840000000000001e-29,58.43318055,0.084886546,0.485506153,0.400619607,10,99531879,F,I,SFRP5,TSS200,island,TSS200-island,chr10:99531025-99531968,True,,,,,0.433845354524408,hyper,0.1,0.9290465631929047,0.9484536082474226,0.9341772151898734
cg27252696,0.331395092,0.445907764,11.89179698,3.29e-29,1.79e-27,55.10121348,0.144314389,0.475709481,0.331395092,6,100912940,R,I,SIM1,TSS1500,island,TSS1500-island,chr6:100912071-100913337,True,,,,,0.37066541607628195,hyper,0.17,0.9137737961926093,0.9494949494949495,0.8908298171589311
cg02711647,0.413300997,0.516076931,14.11092536,7.37e-39,2.11e-36,77.19338106,0.13994329,0.553244287,0.413300997,2,45237689,R,I,SIX2,TSS1500,island,TSS1500-island,chr2:45235511-45237792,,,,,,0.4987293395885823,hyper,0.2,0.95,0.9644670050761421,0.9335161744022503
cg06263461,0.384253485,0.534546658,17.64573131,1.1899999999999999e-55,8.32e-52,115.6971964,0.184848342,0.569101827,0.384253485,20,45280237,F,I,SLC13A3,TSS200,shore,TSS200-shore,chr20:45279781-45280169,,,,,,0.4701819681916829,hyper,0.34,0.9512459371614301,0.9538461538461539,0.9376371308016878
cg15173134,0.322968695,0.38217024,9.181194149,8.39e-19,1.23e-17,31.34727798,0.088245492,0.411214187,0.322968695,10,119000638,R,I,SLC18A2,TSS200,island,TSS200-island,chr10:119000435-119001530,,,,,,0.3745393952534343,hyper,0.11,0.8785046728971962,0.9206349206349206,0.9041068917018285
cg24302235,0.438606613,0.499614019,13.98980323,2.6e-38,6.73e-36,75.93803793,0.100450447,0.53905706,0.438606613,3,170746073,R,II,SLC2A2,TSS1500,island,TSS1500-island,chr3:170746072-170746292,True,True,,,,0.446384098814732,hyper,0.14,0.9578378378378379,0.9644670050761421,0.9304641350210969
cg03738352,0.324122628,0.407887834,11.76528304,1.1e-28,5.5100000000000005e-27,53.90584801,0.112912925,0.437035553,0.324122628,4,25657381,R,I,SLC34A2,TSS200,island,TSS200-island,chr4:25657119-25657547,,True,,,,0.3647249783342567,hyper,0.21,0.9003436426116839,0.9032258064516129,0.8936286919831224
cg10748765,0.368963856,0.483035981,11.84459181,5.17e-29,2.7300000000000003e-27,54.65430436,0.147252328,0.516216184,0.368963856,20,3218905,R,II,SLC4A11,TSS1500,island,TSS1500-island,chr20:3218578-3220930,,,,,,0.36737380011986664,hyper,0.21,0.9299221357063403,0.9368421052631579,0.9232489451476795
cg26001902,0.34394124,0.402363763,10.64333349,3.36e-24,9.069999999999999e-23,43.65562511,0.089352491,0.433293731,0.34394124,2,108602979,F,I,SLC5A7,TSS200,island,TSS200-island,chr2:108602824-108603467,,,,,,0.36913207354361616,hyper,0.09,0.9139664804469275,0.97,0.9158790436005627
cg16703956,0.405173205,0.528863792,16.24020906,8.23e-49,1.6099999999999998e-45,100.0093239,0.160127027,0.565300232,0.405173205,5,1446217,F,I,SLC6A3,TSS1500,island,TSS1500-island,chr5:1444678-1446648,True,,,,rs2735852,0.49357728421422203,hyper,0.32,0.945054945054945,0.9375,0.9254852320675105
cg19788741,0.387815223,0.557672051,14.80691364,4.7699999999999995e-42,2.52e-39,84.50248034,0.204732297,0.59254752,0.387815223,5,101632310,F,I,SLCO4C1,TSS200,island,TSS200-island,chr5:101632049-101632373,True,,,,,0.47878208706000797,hyper,0.32,0.9306930693069307,0.9319371727748691,0.9037130801687764
cg18108623,0.398384926,0.541016655,12.77020825,6.34e-33,6.26e-31,63.60303406,0.178457712,0.576842638,0.398384926,17,33701321,R,II,SLFN11,TSS1500,island,TSS1500-island,chr17:33700989-33701657,,True,,,,0.40220730975452595,hyper,0.23,0.9242761692650333,0.9375,0.8889029535864978
cg25831075,0.303017617,0.454421386,10.2852639,7.899999999999999e-23,1.8000000000000003e-21,40.52552311,0.178653555,0.481671171,0.303017617,3,164915196,F,I,SLITRK3,TSS1500,opensea,TSS1500-opensea,,,,,,,0.4052755218970879,hyper,0.18,0.9349503858875413,0.97,0.9250351617440223
cg06363129,0.413891176,0.722993571,15.62387596,7.13e-46,8.03e-43,93.27252066,0.346322824,0.760214,0.413891176,7,16505602,R,II,SOSTDC1,TSS200,opensea,TSS200-opensea,,,,,,,0.5221866473074346,hyper,0.49,0.9415656008820286,0.9424083769633509,0.9205203938115329
cg24604013,0.325832928,0.455437629,11.56835322,7.04e-28,3.1400000000000003e-26,52.06050441,0.158906224,0.484739152,0.325832928,13,112721325,F,I,SOX1,TSS1500,island,TSS1500-island,chr13:112720564-112723582,,,,,,0.38554696591765925,hyper,0.17,0.9254727474972192,0.9435897435897437,0.8991279887482417
cg23146663,0.357767694,0.618010272,14.29833185,1.04e-39,3.4500000000000004e-37,79.14570166,0.292415931,0.650183626,0.357767694,5,151066662,F,II,SPARC,TSS200,opensea,TSS200-opensea,,True,,,,,0.39012953195299094,hyper,0.4,0.9172259507829977,0.9148936170212766,0.9059774964838254
cg14619259,0.37808919,0.471006768,12.28613145,7.380000000000001e-31,5.2e-29,58.87509364,0.126918404,0.505007594,0.37808919,5,141705539,F,I,SPRY4,TSS1500,island,TSS1500-island,chr5:141705391-141705688,,,,,,0.4594111547989112,hyper,0.26,0.9032992036405005,0.9090909090909092,0.9132770745428973
cg07676859,0.387542946,0.495350879,13.95873792,3.59e-38,9.05e-36,75.61689959,0.142658917,0.530201863,0.387542946,20,23015932,R,I,SSTR4,TSS200,island,TSS200-island,chr20:23015716-23016879,,,,,,0.4235200555222094,hyper,0.2,0.9392265193370165,0.9538461538461539,0.9026019690576652
cg17437939,0.427859796,0.639887755,15.15461024,1.1500000000000001e-43,8.2e-41,88.21127856,0.250504559,0.678364355,0.427859796,7,97361252,R,II,TAC1,TSS200,island,TSS200-island,chr7:97361132-97363018,,,,,,0.4895366016560414,hyper,0.27,0.9539121114683816,0.9591836734693877,0.9187341772151898
cg10786043,0.300983616,0.741419142,14.64434364,2.6899999999999997e-41,1.25e-38,82.7811179,0.467502398,0.768486014,0.300983616,8,38643568,F,II,TACC1,TSS1500,shore,TSS1500-shore,chr8:38644473-38645760,,,,,,0.3682150703693727,hyper,0.56,0.9276974416017798,0.9197860962566845,0.9165260196905767
cg12420900,0.346155507,0.658667542,15.69760313,3.19e-46,3.84e-43,94.0732232,0.343641127,0.689796635,0.346155507,10,123922863,R,II,TACC2,TSS1500,island,TSS1500-island,chr10:123922850-123923542,,True,,,,0.3772673811422022,hyper,0.45,0.93007769145394,0.9148936170212766,0.9090014064697609
cg11861562,0.317255369,0.62581145,14.2991502,1.03e-39,3.4300000000000004e-37,79.154253,0.337086241,0.65434161,0.317255369,11,117069780,R,I,TAGLN,TSS1500,opensea,TSS1500-opensea,,True,,,,,0.3709341793011189,hyper,0.48,0.93141592920354,0.9319371727748691,0.9150632911392405
cg19914919,0.299921972,0.689737068,14.02952284,1.72e-38,4.6e-36,76.34913661,0.416786496,0.716708468,0.299921972,2,161992878,R,II,TANK,TSS1500,opensea,TSS1500-opensea,,,,,,,0.3736979293061976,hyper,0.55,0.9103291713961408,0.888888888888889,0.9153727144866385
cg08924430,0.352662031,0.678346836,14.61831906,3.5399999999999997e-41,1.6099999999999998e-38,82.50633419,0.357399017,0.710061048,0.352662031,4,106067052,F,II,TET2,TSS1500,shore,TSS1500-shore,chr4:106067473-106067968,,,,,,0.3864470878970068,hyper,0.52,0.8977272727272727,0.8804347826086957,0.8982419127988747
cg00795341,0.347891428,0.453255349,11.44152147,2.3100000000000002e-27,9.56e-26,50.88209734,0.136649122,0.48454055,0.347891428,5,79330929,F,I,THBS4,TSS200,island,TSS200-island,chr5:79330928-79331488,,,,,,0.40602402697772605,hyper,0.14,0.9247787610619469,0.97,0.909451476793249
cg05306745,0.375457961,0.604337359,14.4752474,1.61e-40,6.32e-38,80.99958852,0.262643604,0.638101565,0.375457961,17,76921845,F,I,TIMP2,TSS1500,island,TSS1500-island,chr17:76920684-76921961,,,,rs8179090,rs36099107,0.5011755902193102,hyper,0.37,0.9361233480176211,0.9381443298969071,0.9127988748241912
cg19548479,0.442655104,0.526410017,15.02676679,4.540000000000001e-43,2.95e-40,86.84337913,0.123562027,0.566217131,0.442655104,17,41363737,R,II,TMEM106A,TSS200,island,TSS200-island,chr17:41363727-41364273,True,,,,,0.4784956084643566,hyper,0.26,0.9358407079646018,0.9206349206349206,0.9214205344585091
cg05017199,0.321647743,0.497327707,10.77308558,1.05e-24,3.0299999999999996e-23,44.80737822,0.204605121,0.526252863,0.321647743,7,150497065,F,I,TMEM176B,TSS1500,island,TSS1500-island,chr7:150496809-150498206,True,,,,,0.3645049051083251,hyper,0.3,0.9001148105625718,0.9319371727748691,0.9034458509142054
cg09682051,0.324938552,0.669221631,13.22038952,6.96e-35,9.63e-33,68.08866905,0.373504172,0.698442724,0.324938552,11,128813008,R,I,TP53AIP1,TSS200,opensea,TSS200-opensea,,,,,,,0.3888079335515464,hyper,0.49,0.9186176142697882,0.8994708994708994,0.9017299578059071
cg08640923,0.354202386,0.484107847,13.77353066,2.45e-37,5.26e-35,73.70947833,0.161758194,0.515960579,0.354202386,2,220117945,F,I,TUBA4B,TSS200,island,TSS200-island,chr2:220117937-220119334,,True,,,,0.48608522115260044,hyper,0.24,0.9327453142227122,0.9263157894736842,0.8996624472573839
cg17395064,0.390403514,0.556021758,14.94494715,1.0899999999999998e-42,6.43e-40,85.97048293,0.200726474,0.591129988,0.390403514,12,104609476,R,I,TXNRD1,TSS200,island,TSS200-island,chr12:104609397-104610172,,,,,,0.48100770610718707,hyper,0.3,0.9420765027322405,0.9430051813471503,0.9198874824191281
cg10400707,0.344873311,0.601806953,14.14574663,5.12e-39,1.51e-36,77.55522362,0.287947428,0.63282074,0.344873311,1,160369840,F,I,VANGL2,TSS1500,shore,TSS1500-shore,chr1:160370112-160370658,True,,,,rs34049652,0.42103251998191554,hyper,0.39,0.9312638580931264,0.9319371727748691,0.9263713080168777
