CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta
cg25494605,-0.225891015672476,0.554347085389047,-9.75512875361582,7.4114850105348e-21,1.3581284551331e-19,36.026498874209,0.759924160803207,0.534033145130731,-0.225891015672476,5,173472097,R,II,HMP19,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2511437905324455
cg02215357,-0.237881588327856,0.373830467781792,-9.07192934741586,2.01675439472152e-18,2.84684659887512e-17,30.4799506708454,0.590319826943475,0.352438238615617,-0.237881588327857,13,53191046,R,II,HNRNPA1L2,TSS1500,shore,TSS1500-shore,chr13:53191405-53191872,,,,,,-0.2573096777395602
cg10957151,-0.214579388065724,0.307431082231436,-8.6831095691006,4.30030129358257e-17,5.30581105294096e-16,27.4566502017749,0.502713762737293,0.288134374671569,-0.214579388065725,2,176986956,R,II,HOXD9,TSS1500,island,TSS1500-island,chr2:176986424-176988291,,True,,,rs79692292,-0.2818250013485021
cg21336434,-0.291530480235563,0.525125948684442,-10.8121943194859,7.39571816293683e-25,2.17130181948466e-23,45.1563210012703,0.790439659114648,0.498909178879086,-0.291530480235563,7,54271282,F,II,HPVC1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3460120682004817
cg05740582,-0.227473193639187,0.666482443616654,-7.20329393362122,1.92466057475138e-12,1.5150062384122e-11,16.9066440716388,0.873499414806274,0.646026221167087,-0.227473193639187,8,133573933,F,II,HPYR1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2796003298339978
cg09394608,-0.216557392611079,0.669095060560347,-8.59383835979269,8.561842153342191e-17,1.02494998641192e-15,26.7766754767934,0.866177867504961,0.649620474893883,-0.216557392611079,13,47472429,R,II,HTR2A,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2564890268604539
cg07950469,-0.233329722860391,0.611418249789479,-10.1107264463586,3.58569121923922e-22,7.60831903628816e-21,39.0261381414799,0.823765083903432,0.590435361043041,-0.233329722860391,16,71265941,F,II,HYDIN,TSS1500,shore,TSS1500-shore,chr16:71264360-71264659,,,,,,-0.2709214408035204
cg21406461,-0.306174782270666,0.440920279983008,-11.4715088808697,1.74358410597346e-27,7.344586928538189e-26,51.1599922263055,0.719561358812068,0.413386576541402,-0.306174782270667,1,158978957,R,II,IFI16,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3524089723722788
cg17523945,-0.224861968112928,0.528663614031085,-9.16850484943784,9.29150330387878e-19,1.3592215267860601e-17,31.2461591369544,0.733304182133858,0.508442214020929,-0.224861968112929,19,46732351,F,II,IGFL1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2454755161092461
cg21342392,-0.24047598354063,0.679244249293929,-7.10244399577206,3.7721418676594e-12,2.88575449675208e-11,16.2459313945819,0.898094694746373,0.657618711205743,-0.24047598354063,7,111203008,F,II,IMMP2L,TSS1500,shore,TSS1500-shore,chr7:111202079-111202683,,,,,rs79514222,-0.2799868722244969
cg16852483,-0.324000742209133,0.542557651770686,-11.4303293094788,2.56059502104738e-27,1.05279633868102e-25,50.7784941621936,0.837421636586911,0.513420894377779,-0.324000742209132,13,102103930,F,II,ITGBL1,TSS1500,shelf,TSS1500-shelf,chr13:102106165-102106488,,,,,,-0.3622823920378563
cg02922689,-0.235775288719641,0.632503812737137,-9.01928307482386,3.06935320507742e-18,4.25102537464989e-17,30.0648001026035,0.847076287722997,0.611300999003356,-0.235775288719641,3,67047651,R,II,KBTBD8,TSS1500,shore,TSS1500-shore,chr3:67048455-67049273,,,,,,-0.2570237423074235
cg24926465,-0.276666402489809,0.576211723953828,-10.7236136601206,1.63886207909641e-24,4.60832729252159e-23,44.3671564628662,0.827998054277288,0.551331651787479,-0.276666402489809,3,156007787,R,II,KCNAB1,TSS1500,shore,TSS1500-shore,chr3:156008991-156009320,,,,,,-0.3015224899475957
cg03108250,-0.233997277690269,0.435957363343119,-9.84486881813148,3.47526404887231e-21,6.59875693487109e-20,36.7764098442979,0.648911720377788,0.414914442687519,-0.233997277690269,19,55042650,F,II,KIR3DX1,TSS1500,opensea,TSS1500-opensea,,,,,rs77425697,,-0.2509238930653714
cg19582822,-0.25759317804181,0.575539305871347,-11.3627630955947,4.80170052053036e-27,1.89790265216025e-25,50.1543845190415,0.809967629772707,0.552374451730897,-0.25759317804181,19,51375975,F,II,KLK2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2732197399657177
cg22349442,-0.2207206723965,0.648805622326092,-9.60625635702173,2.5761673494848502e-20,4.44816888981525e-19,34.7931913851,0.849677313391973,0.628956640995472,-0.220720672396501,17,39507113,R,II,KRT33A,TSS200,opensea,TSS200-opensea,,,,,,,-0.2408535013057318
cg01841050,-0.26607033563198,0.542717934015792,-9.3712844716586,1.79122004379095e-19,2.82792369203229e-18,32.8743215586727,0.78486108119166,0.518790745559679,-0.266070335631981,17,39539863,F,II,KRT34,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.282017832467582
cg20663846,-0.209794738081207,0.65243698660166,-8.40001649785671,3.74960520429881e-16,4.2145808959762e-15,25.3189251368694,0.843365291402182,0.633570553320976,-0.209794738081206,17,39254439,R,II,KRTAP4-8,TSS200,opensea,TSS200-opensea,,,,,,,-0.2548703571893904
cg01975957,-0.228173757389133,0.677069832829614,-8.30788161828782,7.49983101115977e-16,8.1834036938145e-15,24.634993965761,0.884724367431954,0.656550610042821,-0.228173757389133,1,152798912,F,II,LCE1A,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2619169954371981
cg22616525,-0.232235504113579,0.476552073183682,-9.56744868133615,3.55688917571286e-20,6.05018534317067e-19,34.4739192071438,0.687903089517262,0.455667585403683,-0.232235504113579,1,152669985,R,II,LCE2A,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2584389363652054
cg20823091,-0.229023916585936,0.670378006110128,-8.5373331512466,1.32033376264656e-16,1.55080689561183e-15,26.3490559225515,0.87880624674409,0.649782330158155,-0.229023916585935,1,152680639,F,II,LCE4A,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2675047267257749
cg09417355,-0.243114498007782,0.630570850770622,-8.44593160522745,2.6486411379742797e-16,3.0215969897553204e-15,25.6619402246863,0.851822534209359,0.608708036201576,-0.243114498007783,1,152814273,R,II,LCE6A,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2698413052644681
cg00298977,-0.324795943070428,0.473859787857135,-12.3776282403056,3.0252021724707e-31,2.2536558085036498e-29,59.7608641019571,0.769447462665833,0.444651519595405,-0.324795943070428,1,153175842,R,II,LELP1,TSS200,opensea,TSS200-opensea,,,,,,rs80344177,-0.3605720678572681
cg20542190,-0.224159747555159,0.443495586588014,-10.3578719324024,4.1864037017610804e-23,9.882953153142929e-22,41.1544108010218,0.647497083463752,0.423337335908593,-0.224159747555159,19,54850619,R,II,LILRA4,TSS200,opensea,TSS200-opensea,,,,,,,-0.2486183869576156
cg11109027,-0.215121293271124,0.722677398576136,-7.70462669711771,6.07622424199759e-14,5.51804649486e-13,20.3043710060592,0.918453251804893,0.703331958533769,-0.215121293271124,1,207991720,F,II,LOC148696,TSS200,opensea,TSS200-opensea,,,,,,,-0.2427729502951931
cg09385371,-0.231609966805608,0.667197917272514,-10.557238929577,7.22181794625627e-24,1.86920125247426e-22,42.8964904484415,0.877979649653157,0.646369682847549,-0.231609966805608,6,142959676,R,II,LOC153910,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.238352770240731
cg01876288,-0.272287543387514,0.517723189597124,-11.3335344645105,6.29812816135067e-27,2.4464504955507803e-25,49.8851122508762,0.76552444311166,0.493236899724146,-0.272287543387514,7,158800934,R,II,LOC154822,TSS200,shore,TSS200-shore,chr7:158798591-158799434,,,,,,-0.3074312738304103
cg00191458,-0.249562826486349,0.592825973718867,-10.7808346290217,9.806745779905551e-25,2.83512394999567e-23,44.8764525687511,0.819946099981624,0.570383273495275,-0.249562826486349,5,169757859,F,II,LOC257358,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2732104663004985
cg25748764,-0.252355378387461,0.504729405546487,-12.3734552482417,3.15098005045292e-31,2.34179069514153e-29,59.7203845557922,0.73439095494227,0.482035576554809,-0.252355378387461,20,31261814,F,II,LOC284805,TSS200,opensea,TSS200-opensea,,,True,,,,-0.2713001913903555
cg13453847,-0.31792694766975,0.553450808446095,-11.4877896860128,1.4974702224987e-27,6.36704097033368e-26,51.3110549842264,0.842787203267846,0.524860255598096,-0.31792694766975,5,5034274,R,II,LOC340094,TSS200,opensea,TSS200-opensea,,,,,,,-0.3552505783296582
cg20043679,-0.247770879855221,0.653196951432436,-10.0668205696872,5.232387323478219e-22,1.08886506971409e-20,38.651735205576,0.878686277343841,0.630915397488621,-0.24777087985522,2,84517321,F,II,LOC388965,TSS1500,shore,TSS1500-shore,chr2:84517714-84517951,,,,,,-0.2611655224730963
cg23853165,-0.252558600357657,0.598524364204603,-8.85188274794471,1.15318244802416e-17,1.50694016068265e-16,28.7567359103434,0.828370860213551,0.575812259855893,-0.252558600357658,10,42864912,R,II,LOC441666,TSS1500,shore,TSS1500-shore,chr10:42862953-42863216,,,,,,-0.301475972078638
cg07833342,-0.240918275751826,0.617007326417315,-9.31363914854178,2.8675839731528303e-19,4.42911454046048e-18,32.4088278795686,0.836260289601532,0.595342013849705,-0.240918275751827,20,5450926,R,II,LOC643406,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2884833051262377
cg07570113,-0.268605138090394,0.528213849336409,-9.87095627171393,2.78602605593871e-21,5.347808216615249e-20,36.9953145460498,0.77266384910932,0.504058711018927,-0.268605138090393,16,59790180,R,II,LOC644649,TSS1500,shore,TSS1500-shore,chr16:59788792-59789072,,,,,,-0.3053018191512555
cg04557423,-0.216710367360494,0.584116919174495,-7.9598507445398,9.76295351812512e-15,9.571999500368153e-14,22.1049536577163,0.781338944146455,0.564628576785961,-0.216710367360494,8,128494728,R,II,LOC727677,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2630390841092233
cg02689785,-0.206435192587709,0.599989500862402,-10.7184531503401,1.71639827243456e-24,4.8144766782079e-23,44.3213126109308,0.787860377569922,0.581425184982213,-0.206435192587709,10,105004949,R,II,LOC729020,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2381143857951857
cg21340845,-0.339600166870118,0.431658762334707,-13.5407031925352,2.67547184214096e-36,4.71661614045285e-34,71.3294267812984,0.740719345853195,0.401119178983078,-0.339600166870117,2,142890700,R,II,LRP1B,TSS1500,shelf,TSS1500-shelf,chr2:142887724-142888553,,,,,,-0.37093150924475
cg27130665,-0.262588929951768,0.497956111377929,-11.2561860330452,1.28853985565931e-26,4.79908064942393e-25,49.1746220634699,0.736930928923963,0.474341998972194,-0.262588929951768,11,40316514,F,II,LRRC4C,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2776074073249306
cg04604142,-0.225526147859622,0.653757451053723,-9.12533926020899,1.3147232537153001e-18,1.89271950736249e-17,30.9029520940059,0.859002470508702,0.63347632264908,-0.225526147859622,17,48796515,R,II,LUC7L3,TSS1500,shore,TSS1500-shore,chr17:48796750-48797317,,,,,,-0.2552684504616954
cg21374754,-0.238712492266025,0.48905534374747,-10.6260229314292,3.9187085874692204e-24,1.04965308946163e-22,43.5026621820729,0.706300885270148,0.467588393004123,-0.238712492266025,3,42452862,F,II,LYZL4,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2689753286789541
cg11009736,-0.304906599225723,0.421849195138096,-12.3833082331192,2.86199559273194e-31,2.14097644057212e-29,59.8159745326775,0.699336136160066,0.394429536934344,-0.304906599225722,2,119699682,R,II,MARCO,TSS200,opensea,TSS200-opensea,,,,,,,-0.3392496392506008
cg05323709,-0.258223893888371,0.555263929607484,-10.7232766766649,1.64381729097673e-24,4.6215700168291e-23,44.3641623981062,0.790266250304455,0.532042356416084,-0.258223893888371,19,45753380,R,II,MARK4,TSS1500,shore,TSS1500-shore,chr19:45754630-45755261,,,,,,-0.2911026950211035
cg20686446,-0.229966356378678,0.484931463414965,-8.6629638846943,5.02560382105956e-17,6.15648741615667e-16,27.3027335678139,0.694217392061748,0.464251035683069,-0.229966356378678,19,50320090,F,I,MED25,TSS1500,shore,TSS1500-shore,chr19:50321414-50321762,,,,,,-0.2498314527628672
cg24488391,-0.258209532829754,0.643886656573288,-10.0557150094015,5.75622970694297e-22,1.19148412484208e-20,38.5572119201651,0.878875907673747,0.620666374843994,-0.258209532829754,1,170113838,F,II,METTL11B,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.273236143442408
cg25562958,-0.22914229195301,0.642439954924304,-7.98931760664548,7.88179172975641e-15,7.79733211763177e-14,22.3158517591135,0.850975925658518,0.621833633705508,-0.229142291953011,14,101490676,R,II,MIR1197,TSS1500,opensea,TSS1500-opensea,,,,,,rs80084667,-0.2458766347591627
cg25247520,-0.237936593624363,0.400584095666004,-11.530452385193,1.00443290673778e-27,4.3826569436242797e-26,51.7075286453139,0.617123513604722,0.37918691998036,-0.237936593624363,8,128808017,F,II,MIR1204,TSS200,shore,TSS200-shore,chr8:128806081-128806899,,,,,,-0.2546925954277139
cg22978384,-0.210826715841902,0.681002634380868,-7.67669652881797,7.401407083008582e-14,6.66502226503397e-13,20.1101903199264,0.872870113186628,0.662043397344726,-0.210826715841902,3,35785107,F,II,MIR128-2,TSS1500,opensea,TSS1500-opensea,,,,,rs6786127,,-0.2460710728889767
cg10734581,-0.254841101311582,0.520550508442456,-10.5245537602414,9.64757604932052e-24,2.45948793632488e-22,42.6093637151168,0.752474244528176,0.497633143216594,-0.254841101311582,14,101520078,F,II,MIR134,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.275592195909905
cg05138957,-0.227856788920774,0.579553836903842,-9.16707193012882,9.399361907242733e-19,1.3741448514803e-17,31.2347469214565,0.786919907396489,0.559063118475715,-0.227856788920775,14,101528123,R,II,MIR377,TSS1500,shelf,TSS1500-shelf,chr14:101531643-101532384,,True,,,,-0.2511503128100423
cg14440205,-0.233214335807515,0.651670116057963,-9.84256569023756,3.5436845512241305e-21,6.72131600346604e-20,36.7571034017774,0.863911939652571,0.630697603845057,-0.233214335807515,14,101487928,F,II,MIR379,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.244823902400549
cg00175487,-0.240221163029415,0.658479100284906,-8.74056828063867,2.75298090292615e-17,3.46070498407904e-16,27.8971365014393,0.877097640739733,0.636876477710318,-0.240221163029415,14,101490186,F,II,MIR380,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2529397659584613
cg20547131,-0.244826032703682,0.540069362321181,-10.677303291023,2.48015879717388e-24,6.81405199949463e-23,43.9562732107407,0.762878665465178,0.518052632761497,-0.244826032703681,14,101531510,F,II,MIR412,TSS1500,shore,TSS1500-shore,chr14:101531643-101532384,,,,,,-0.2774673450180727
cg03019112,-0.226130933703549,0.666523183748126,-8.08469665617917,3.92595040774043e-15,3.99957260925041e-14,23.0027220869446,0.872318601830853,0.646187668127303,-0.22613093370355,14,101518520,R,II,MIR487A,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2561037168021859
cg12033297,-0.229751693289544,0.566542326704671,-10.4016304530511,2.8519739964258e-23,6.86717151385924e-22,41.5348643222195,0.775632896496955,0.54588120320741,-0.229751693289545,1,176998801,F,II,MIR488,TSS1500,opensea,TSS1500-opensea,,,,,rs61758728,,-0.2582734916374018
cg22166633,-0.215790713180897,0.429002024537399,-10.2228320382203,1.35937538420018e-22,3.0189127297109007e-21,39.9871803456259,0.625387098043754,0.409596384862858,-0.215790713180896,19,54177678,F,II,MIR520E,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2543677042626937
cg08174890,-0.276754007473321,0.612756174484263,-11.4047694852184,3.24900735106659e-27,1.3165583913270202e-25,50.5421281215384,0.864622231645237,0.587868224171914,-0.276754007473323,4,9558077,F,II,MIR548I2,TSS200,opensea,TSS200-opensea,,,,,rs73085434,,-0.3082611013208567
cg11035122,-0.219966980938399,0.692059220414327,-9.10627590352357,1.53196052787531e-18,2.1888766061121505e-17,30.751761288153,0.892244998030927,0.672278017092528,-0.219966980938399,14,101491994,R,II,MIR758,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2381440796628594
cg01022345,-0.256013457573415,0.576777111962886,-11.5777064037585,6.44717371758045e-28,2.89158200813347e-26,52.1477208690861,0.809767776589051,0.553754319015637,-0.256013457573414,14,101317819,F,II,MIR770,TSS1500,opensea,TSS1500-opensea,,True,,,,,-0.2726695511455437
cg22987078,-0.239269068143999,0.646544251208049,-7.42821094844553,4.17715104743416e-13,3.49750753332881e-12,18.4078638463684,0.864296316821114,0.625027248677114,-0.239269068144,20,62550653,F,II,MIR941-3,TSS1500,shore,TSS1500-shore,chr20:62550713-62551523,,,,rs4809249,,-0.2888834943949166
cg07483086,-0.290829723986428,0.568676471537274,-10.8662407174828,4.5420553531069e-25,1.37105346555049e-23,45.6398973705594,0.833352443366649,0.542522719380222,-0.290829723986427,2,150444834,R,II,MMADHC,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.335818642466245
cg25119415,-0.2456520000079,0.622499127658604,-8.65333224466358,5.41389164227574e-17,6.61191113258779e-16,27.2292423001192,0.84606012047155,0.600408120463649,-0.245652000007901,1,158799935,R,II,MNDA,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2581635631398041
cg16697850,-0.240453640601192,0.428238474122151,-11.7209480914042,1.67042940829078e-28,8.18473424779932e-27,53.488763109153,0.6470685858923,0.406614945291108,-0.240453640601192,7,141946928,F,II,MOXD2,TSS200,opensea,TSS200-opensea,,,,,,,-0.2686087242463021
cg15556672,-0.22042663581335,0.431605402212918,-10.198894386216,1.67318713944324e-22,3.68213727870281e-21,39.7813618836698,0.63220949883442,0.41178286302107,-0.22042663581335,5,68513082,R,II,MRPS36,TSS1500,shore,TSS1500-shore,chr5:68513514-68514200,,,,,,-0.2522657889436233
cg15811371,-0.223472702546904,0.41932180809972,-9.69821303201437,1.19520058812245e-20,2.14032957565977e-19,35.5533999288768,0.622698044590247,0.399225342043344,-0.223472702546903,19,9093198,R,II,MUC16,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2410485239584347
cg23400451,-0.212029020492477,0.684256247692099,-7.68955695108889,6.75916087667919e-14,6.10875442658697e-13,20.1995299456515,0.87721791022662,0.665188889734143,-0.212029020492478,17,10373728,F,II,MYH4,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2417831199458657
cg21367256,-0.25321276024056,0.552772840994334,-9.51187474899994,5.63643723254898e-20,9.39127449874259e-19,34.0183246732975,0.783214669558585,0.530001909318024,-0.253212760240561,20,62795658,F,II,MYT1,TSS200,opensea,TSS200-opensea,,,,,,,-0.2981827194011887
cg01395254,-0.248414841217281,0.619885438691994,-8.66348496734553,5.00540097851891e-17,6.13334940251177e-16,27.3067113040663,0.845960815771032,0.597545974553749,-0.248414841217282,2,2336428,R,II,MYT1L,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.261565007718899
cg26060835,-0.240585791989632,0.634744708170691,-9.12353277097495,1.3339270841164798e-18,1.91904412497148e-17,30.8886148701973,0.853695087211615,0.613109295221983,-0.240585791989631,21,19258310,R,II,NCRNA00157,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2501689565015486
cg18538751,-0.258176876296971,0.630807433729282,-10.6793081796351,2.43612699686055e-24,6.69992804191772e-23,43.9740371162665,0.865766965035519,0.607590088738547,-0.258176876296971,2,233879149,R,II,NGEF,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2773578242553711
cg06646708,-0.211923258872138,0.512539555821496,-9.43856598985486,1.03156251110247e-19,1.66982167649283e-18,33.4202643593828,0.705404967672759,0.493481708800621,-0.211923258872139,6,18123224,R,II,NHLRC1,TSS1500,shore,TSS1500-shore,chr6:18122250-18122994,True,True,,,,-0.2384986605838473
cg00939432,-0.266408019595235,0.522174897929459,-10.2318750148079,1.25668326046165e-22,2.80359678587425e-21,40.0650185437384,0.764625361805698,0.498217342210463,-0.266408019595236,22,29977677,F,II,NIPSNAP1,TSS1500,shore,TSS1500-shore,chr22:29976920-29977216,,,,rs6006197,,-0.3031802768271119
cg20311730,-0.237708072044908,0.588545461025255,-9.6542940842916,1.7258866424090502e-20,3.0371745921391e-19,35.1896773390535,0.804876907886268,0.56716883584136,-0.237708072044908,11,7985183,F,II,NLRP10,TSS200,opensea,TSS200-opensea,,,,,,,-0.2649034102512043
cg19741359,-0.233669927383837,0.589022395782888,-9.2866095895977,3.57301910347528e-19,5.4610695206911394e-18,32.1912818223586,0.801678840488323,0.568008913104486,-0.233669927383837,2,73429176,F,II,NOTO,TSS1500,shore,TSS1500-shore,chr2:73429283-73430647,,True,,,,-0.2612347429589173
cg08564874,-0.303345481249477,0.567366536562144,-11.4669673135302,1.8191449896695e-27,7.64319232564905e-26,51.117876469649,0.843432747915085,0.540087266665608,-0.303345481249477,7,34696723,F,II,NPSR1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3417435607091254
cg20335735,-0.260801471287879,0.541616809037287,-12.4878320628762,1.02886192426325e-31,8.297170422667859e-30,60.8326674954842,0.778964910605033,0.518163439317154,-0.260801471287879,6,150068006,R,II,NUP43,TSS1500,shore,TSS1500-shore,chr6:150067323-150067766,,,,,,-0.3044384851237775
cg25626375,-0.263196376116757,0.493486271552617,-9.63027630977002,2.10894096954156e-20,3.67329106646781e-19,34.991267024424,0.733013908809953,0.469817532693196,-0.263196376116757,8,133072269,R,II,OC90,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3160188646883602
cg22852840,-0.213322222177842,0.58759117218425,-9.71023412833271,1.08063041863099e-20,1.9445093348690501e-19,35.6531591183775,0.781729741288544,0.568407519110703,-0.213322222177841,6,47749714,F,II,OPN5,TSS200,opensea,TSS200-opensea,,,,,rs7741473,,-0.2431992788592656
cg09577324,-0.286826940759649,0.480099950060837,-10.9606573615719,1.9309617562240104e-25,6.11736814737055e-24,46.4884272624235,0.741133101183827,0.454306160424178,-0.28682694075965,11,6890860,R,II,OR10A2,TSS200,opensea,TSS200-opensea,,,,,,,-0.3306374714759795
cg06834698,-0.242092699608701,0.640515554024511,-9.71501555335612,1.03814901822485e-20,1.8713792592299e-19,35.692862980167,0.860837327409408,0.618744627800707,-0.242092699608701,11,7961985,R,II,OR10A3,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2701700427543562
cg03898365,-0.219806547913626,0.358633153240199,-9.69205794077268,1.25844529280297e-20,2.24738161672335e-19,35.5023547696982,0.558672925262312,0.338866377348686,-0.219806547913626,11,6897491,R,II,OR10A4,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2388293266529378
cg18099058,-0.258804816909582,0.564174424558453,-10.6301054747951,3.77876168167187e-24,1.01361072260489e-22,43.5387223121426,0.799705426997749,0.540900610088167,-0.258804816909582,11,55737045,R,II,OR10AG1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2981775125680137
cg26110281,-0.304715104254277,0.560600952233999,-11.3594400542894,4.95221021686149e-27,1.95287866313876e-25,50.1237488513979,0.837913619055339,0.533198514801061,-0.304715104254278,11,123885695,F,II,OR10G4,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3418604187578964
cg20480740,-0.216743055955061,0.640477797978468,-8.02413972719997,6.11556467086515e-15,6.11239640542726e-14,22.5658747904401,0.837729571923182,0.620986515968121,-0.216743055955061,11,123899875,F,II,OR10G8,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2497949783979119
cg15700197,-0.322175063882742,0.544264735270359,-11.5666259297099,7.1542239444923585e-28,3.1847767353422596e-26,52.044402544316,0.837467221465804,0.515292157583063,-0.322175063882741,1,159409207,F,II,OR10J1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3636032092380519
cg07037019,-0.257462578012336,0.663022780548556,-9.27848214626029,3.81696561795329e-19,5.814080291125259e-18,32.1259588166239,0.897332249027409,0.639869671015072,-0.257462578012336,1,159506621,F,II,OR10J5,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2868219374576963
cg25940557,-0.253557801849747,0.506981299668417,-10.4516098999772,1.83733439594335e-23,4.51833171934807e-22,41.9707247787097,0.737737140920167,0.484179339070418,-0.253557801849748,1,158575177,F,II,OR10Z1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2693620836310062
cg03271520,-0.230888608650706,0.576669932744619,-8.97068001367155,4.51598811964578e-18,6.15265927698672e-17,29.6831297403362,0.786795177308031,0.555906568657325,-0.230888608650706,17,3100171,F,II,OR1A2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2707655040951386
cg02499925,-0.222948350925938,0.576140683167983,-8.19114165430874,1.79029967668064e-15,1.88497296427651e-14,23.7768658066658,0.779039721960294,0.556091371034355,-0.222948350925939,17,3031618,R,II,OR1G1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2712084277916924
cg21025142,-0.22831386850105,0.5206643713047,-8.71077877937906,3.4701001708408804e-17,4.31988429772069e-16,27.6684908390377,0.728446417098821,0.500132548597771,-0.22831386850105,11,6914389,R,II,OR2D2,TSS1500,opensea,TSS1500-opensea,,,,,,rs78911462,-0.2402377032700863
cg02735829,-0.267354746694046,0.537517743163941,-9.78166559715262,5.9272987853808105e-21,1.09721962286778e-19,36.2477493245788,0.780829796809962,0.513475050115916,-0.267354746694046,5,180167566,R,II,OR2Y1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3167144242717907
cg10176692,-0.267168502520243,0.463360180731006,-11.4219433550242,2.7687527676938798e-27,1.13342615339529e-25,50.7009084379343,0.706502738780004,0.439334236259761,-0.267168502520243,11,48238296,F,II,OR4B1,TSS200,opensea,TSS200-opensea,,,,,,rs1566737,-0.2926018749029529
cg20181079,-0.237941797599741,0.637838569384479,-8.47378579024124,2.14359787213907e-16,2.4681915878189306e-15,25.8707320518657,0.854382723315178,0.616440925715438,-0.237941797599741,11,59270409,F,II,OR4D11,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2818588459958174
cg14269191,-0.284632033448866,0.600030255745674,-9.72058783210383,9.90726718258106e-21,1.78949656732423e-19,35.739151392459,0.859065883308851,0.574433849859984,-0.284632033448867,11,5346249,R,II,OR51B2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3297560838280099
cg19554569,-0.257507639110431,0.608038787490982,-9.0733709517145,1.99364490833449e-18,2.81559870388159e-17,30.4913438903648,0.842389264810907,0.584881625700476,-0.257507639110431,11,5364833,R,II,OR51B5,TSS200,opensea,TSS200-opensea,,,True,,,rs12806253,-0.3002365503510065
cg24803687,-0.289414675443919,0.537514371367339,-10.4173480859993,2.48403415138858e-23,6.02091403854867e-22,41.6717831856172,0.800902547220977,0.511487871777058,-0.289414675443919,11,5462916,R,II,OR51I1,TSS200,opensea,TSS200-opensea,,,,,rs1498487,,-0.3257837162750459
cg27093637,-0.253963022141504,0.641452456959701,-9.38846010511657,1.5562700026989802e-19,2.4750294008576e-18,33.0134207113579,0.872577077829487,0.618614055687983,-0.253963022141503,11,5410452,F,II,OR51M1,TSS200,opensea,TSS200-opensea,,,,,,,-0.2945197639128897
cg22812280,-0.228835802818429,0.651607415269405,-8.26305737298287,1.04862299163182e-15,1.12832769661313e-14,24.3043798387257,0.859864458841572,0.631028656023144,-0.228835802818428,11,5173605,F,II,OR52A1,TSS200,opensea,TSS200-opensea,,,,,,,-0.2751567515262905
